Name,Shortform,Price,24H change,24H volume,Market Cap
Zeitgeist,ZTG,$0.05517,-1.93%,"$36,303","$801,975"
ETHPad,ETHPAD,$0.004043,-0.40%,"$10,341","$806,360"
Sumokoin,SUMO,$0.01511,+20.67%,"$320,859","$814,169"
The Coop Network,GMD,$0.003767,+0.32%,"$2,839","$802,060"
aiRight,AIRI,$0.003142,+8.28%,"$23,353","$805,279"
Zenlink,ZLK,$0.01416,-7.98%,"$10,765","$771,587"
GoMeat,GOMT,$0.4041,+17.08%,"$225,719","$794,917"
Wanaka Farm,WANA,$0.006456,+0.30%,$302,"$797,434"
Zloadr,ZDR,$0.1475,+5.29%,N/A,"$800,396"
Saber,SBR,$0.0006649,-1.81%,"$54,852","$792,035"
Dash Diamond,DASHD,$0.002207,+31.02%,$30,"$797,841"
Relay Token,RELAY,$0.2384,+1.93%,$5,"$793,792"
Creaticles,CRE8,$0.0101,-3.81%,"$6,352","$788,663"
Atlas Navi,NAVI,$0.04151,-1.23%,"$12,205","$789,954"
Metaverse Face,MEFA,$0.00008341,+4.93%,"$59,245","$793,738"
SIRIN LABS Token,SRN,$0.001492,-3.61%,"$1,631","$733,847"
Metrix Coin,MRX,$0.00004422,+10.54%,"$1,262","$793,278"
hiMAYC,HIMAYC,$0.05841,+16.52%,"$261,446","$754,816"
Chimpion,BNANA,$0.02265,+12.80%,"$131,965","$718,722"
ZilSwap,ZWAP,$1.22,+3.93%,$178,"$789,063"
DEEPSPACE,DPS,$0.01483,+6.19%,"$16,170","$784,410"
Bob's Repair,BOB,$0.004225,+7.53%,$113,"$775,970"
SafeMoon Inu,SMI,$0.0000007839,+3.40%,"$10,957","$783,864"
DexKit,KIT,$0.2598,+0.88%,$56,"$779,432"
Unistake,UNISTAKE,$0.003538,+1.37%,"$10,509","$771,127"
BitCore,BTX,$0.04249,-8.02%,$16,"$769,813"
Primate,PRIMATE,$0.00541,-8.76%,"$413,306","$763,215"
CyberFi Token,CFi,$0.3189,+3.95%,"$8,946","$765,437"
Crust Shadow,CSM,$0.007619,+1.06%,"$5,766","$761,890"
Clube Atlético Mineiro Fan Token,GALO,$0.3371,+1.75%,"$41,579","$759,439"
Databroker,DTX,$0.009006,+0.06%,$199,"$758,856"
BitTube,TUBE,$0.002034,+4.78%,N/A,"$762,877"
UNCL,UNCL,$3.25,+1.23%,$791,"$762,629"
A2DAO,ATD,$0.08349,+2.07%,"$53,791","$757,481"
Bitcoin Plus,XBC,$3.61,-4.10%,"$4,249","$754,486"
SafeBlast,BLAST,$0.000000004285,+0.25%,"$81,479","$752,233"
8PAY,8PAY,$0.01251,-0.54%,$776,"$750,842"
Tolar,TOL,$0.005159,+0.06%,"$13,181","$748,288"
Virtue Poker,VPP,$0.006991,+8.62%,$93,"$747,930"
Patientory,PTOY,$0.01067,+4.27%,"$71,539","$746,860"
Blocknet,BLOCK,$0.07689,-0.40%,$69,"$749,935"
GOLCOIN,GOLC,$0.1913,+4.11%,$1.86 M,"$736,403"
88mph,MPH,$1.57,-5.02%,"$51,193","$731,406"
HEROcoin,PLAY,$0.002992,+2.49%,"$72,276","$743,874"
Orbitcoin,ORB,$0.2307,+5.80%,N/A,"$743,054"
XTblock,XTT-B20,$0.006139,+1.95%,$44,"$738,030"
Source Token,SRCX,$0.002507,+0.12%,N/A,"$736,488"
Kattana,KTN,$0.2319,-0.55%,"$14,322","$734,386"
TrueFeedBack,TFBX,$0.0002017,+6.70%,"$44,185","$738,377"
Essentia,ESS,$0.0005143,-0.09%,"$10,595","$734,704"
MOVEZ,MOVEZ,$0.001435,-2.88%,"$139,467","$734,236"
Geojam Token,JAM,$0.001019,+10.02%,"$159,556","$715,965"
TrustFi Network,TFI,$0.01621,+1.04%,"$42,810","$716,279"
NFT,NFT,$0.01978,-3.82%,$255,"$729,043"
Poodl Token,POODL,$0.000000009076,+3.08%,$24,"$724,422"
Dark Frontiers,DARK,$0.01999,-1.63%,"$17,157","$716,534"
ONSTON,ONSTON,$0.00309,+4.88%,"$795,644","$725,527"
Stone,0NE,$0.000000003815,+0.16%,"$1,795","$721,851"
StellaSwap,STELLA,$0.03296,-2.03%,"$13,962","$718,231"
DRIFE,DRF,$0.0007768,-10.36%,"$28,960","$717,015"
Zyberswap,ZYB,$0.2664,+2.81%,"$123,827","$719,819"
Tulip Protocol,TULIP,$0.8877,+0.07%,"$11,027","$723,690"
ADAPad,ADAPAD,$0.006309,-1.11%,"$10,101","$742,189"
Kuma Inu,KUMA,$0.000000006041,+4.04%,"$16,745","$717,380"
Dogira,DOGIRA,$0.0007217,-0.45%,$317,"$714,526"
Equalizer,EQZ,$0.01883,+2.32%,"$50,282","$705,056"
Opacity,OPCT,$0.008753,+2.26%,"$3,730","$704,228"
KCAL,KCAL,$0.181,-2.56%,"$82,373","$705,919"
Trace Network Labs,TRACE,$0.01377,-11.38%,"$21,588","$699,430"
Global Social Chain,GSC,$0.00148,-0.08%,"$3,469","$703,140"
Nebulas,NAS,$0.01077,-3.16%,"$45,688","$700,529"
hiAZUKI,HIAZUKI,$0.03761,+9.00%,"$111,955","$708,478"
NFTrade,NFTD,$0.02138,-0.26%,"$16,305","$700,132"
GamesPad,GMPD,$0.01029,-2.47%,"$229,461","$693,774"
ArbiSmart,RBIS,$0.07116,+24.81%,"$2,880","$693,471"
Pollen,PLN,$0.007593,+2.20%,"$191,743","$697,695"
OceanEx Token,OCE,$0.0003865,-0.07%,"$1,723","$691,162"
CloakCoin,CLOAK,$0.115,-0.08%,$0.1209,"$686,714"
Feathercoin,FTC,$0.002942,+3.66%,$107,"$696,006"
Moon Nation Game,MNG,$0.00179,+4.24%,"$15,187","$687,994"
Draken,DRK,$0.0007001,-0.02%,N/A,"$684,315"
MetaFabric,FABRIC,$0.001034,+3.95%,"$111,190","$687,492"
BUILD,BUILD,$0.00006887,-20.30%,"$3,838","$674,346"
OptionRoom,ROOM,$0.05369,-1.27%,"$13,566","$670,824"
Bitswift,BITS,$0.1763,-1.69%,$29,"$684,728"
HumanDAO,HDAO,$0.009978,-0.01%,N/A,"$675,969"
Only1,LIKE,$0.003264,+5.67%,"$840,225","$674,003"
Voltage Finance,VOLT,$0.0003446,+4.22%,"$66,209","$677,199"
Derify Protocol,DRF,$0.06442,+4.87%,"$4,235","$673,101"
Pussy Financial,PUSSY,$0.000003098,+4.74%,$87,"$676,555"
Pawthereum,PAWTH,$0.0008011,+4.04%,$970,"$676,773"
Honest,HNST,$0.00712,-0.25%,$215,"$669,723"
Ari10,ARI10,$0.00182,+1.59%,"$9,364","$669,700"
hiENS3,HIENS3,$0.01849,+13.97%,"$227,337","$665,573"
AMEPAY,AME,$0.001336,+1.25%,"$265,592","$667,766"
Unicly Hashmasks Collection,UMASK,$0.006733,+4.76%,N/A,"$673,272"
VeriBlock,VBK,$0.0005424,+5.89%,$7,"$673,813"
Wagerr,WGR,$0.003092,+1.96%,$45,"$670,276"
StrongHands,SHND,$0.00003629,+902.09%,N/A,"$668,962"
MM Finance(Polygon),MMF,$0.003659,+2.13%,"$7,897","$668,760"
Idexo Token,IDO,$0.0121,-0.02%,"$144,828","$663,439"
Spartan Protocol,SPARTA,$0.007682,-0.17%,"$41,828","$659,227"
Tokoin,TOKO,$0.001356,-0.17%,"$975,256","$663,430"
Starname,IOV,$0.004898,+6.53%,$342,"$661,019"
Bread,BRD,$0.007469,+45.39%,$11,"$663,732"
Professional Fighters League Fan Token,PFL,$0.4925,-2.06%,"$29,422","$653,322"
Revenant,GAMEFI,$0.6169,-1.58%,"$3,014","$657,607"
Garlicoin,GRLC,$0.009762,+5.99%,$55,"$662,840"
DeepOnion,ONION,$0.02892,+5.31%,N/A,"$662,875"
Young Boys Fan Token,YBO,$0.4963,+12.40%,"$19,236","$684,961"
PetroDollar,XPD,$0.0103,+5.87%,N/A,"$659,435"
Wizarre Scroll,SCRL,$0.0001479,-2.47%,"$68,910","$656,588"
KittenFinance,KIF,$17.31,+6.99%,"$10,040","$654,945"
Dexsport,DESU,$0.006332,-0.14%,"$2,275","$652,738"
Bullieverse,$BULL,$0.001285,-0.75%,$1.49 M,"$654,311"
Monsterra,MSTR,$0.09683,-0.21%,"$383,364","$648,758"
MoneroV ,XMV,$0.2413,+5.87%,$5,"$651,641"
H2O,PSDN,$2.95,+0.00%,N/A,"$645,867"
BonusCloud,BXC,$0.0001945,+5.63%,"$16,345","$651,944"
Hakka.Finance,HAKKA,$0.001663,+0.50%,$127,"$645,383"
Everton Fan Token,EFC,$0.7035,-4.15%,"$83,054","$655,125"
Catheon Gaming,CATHEON,$0.0006626,-0.03%,"$39,992","$641,759"
STARSHIP,STARSHIP,$0.0341,+3.01%,"$1,460","$644,725"
Crowny,CRWNY,$0.001387,-0.67%,"$224,050","$640,949"
Chronicle,XNL,$0.01096,+1.08%,"$46,286","$639,537"
Mars Ecosystem Token,XMS,$0.0009834,-3.55%,"$5,740","$640,929"
Thorstarter,XRUNE,$0.00789,+4.52%,"$16,174","$636,634"
QChi,QCH,$0.01955,+5.33%,N/A,"$640,431"
Football Stars,FootballStars,$0.0000006953,+3.18%,$4,"$637,861"
Bismuth,BIS,$0.02204,+45.56%,"$1,293","$636,811"
Tokes,TKS,$0.003167,+0.06%,$55,"$633,419"
MoonStarter,MNST,$0.005188,-3.79%,"$72,061","$627,325"
Phuture,PHTR,$0.02033,+6.35%,"$7,415","$631,296"
SYNC Network,SYNC,$0.005104,-3.27%,N/A,"$625,976"
Tranquil Finance,TRANQ,$0.003257,-4.58%,"$5,843","$624,060"
Nitro League,NITRO,$0.003111,+0.53%,"$51,481","$628,389"
Afreum,AFR,$0.00011,-13.70%,N/A,"$621,573"
Bogged,BOG,$0.0444,+1.91%,"$3,121","$621,060"
Biometric Financial,BIOFI,$0.0007909,+13.02%,"$14,231","$623,399"
TIA,TIA,$0.003551,+18.79%,N/A,"$553,470"
Tycoon,TYC,$0.007829,+0.06%,"$9,476","$617,063"
Burency,BUY,$0.003288,+8.89%,"$6,101","$637,550"
HTMLCOIN,HTML,$0.00001168,+5.83%,$19,"$620,004"
LOCGame,LOCG,$0.01218,+1.47%,"$31,015","$611,298"
Scala,XLA,$0.00005965,+0.00%,N/A,"$608,566"
Aryacoin,AYA,$0.003813,+6.01%,"$10,705","$611,864"
Humaniq,HMQ,$0.002955,+28.71%,"$2,051","$612,063"
YEL.Finance,YEL,$0.002319,+5.34%,"$1,202","$611,755"
PlayZap,PZP,$0.07893,+2.61%,"$45,257","$609,278"
Wicrypt,WNT,$0.02888,-0.46%,"$79,298","$605,615"
Neutra Finance,NEU,$0.7801,+3.52%,"$176,991","$608,858"
BillionHappiness,BHC,$12.17,+3.02%,"$61,672","$608,357"
Valas Finance,VALAS,$0.0003166,+3.08%,$42,"$607,837"
ALL.ART protocol,AART,$0.0007049,-0.16%,"$45,605","$598,983"
Lamden,TAU,$0.00425,+3.54%,$109,"$604,468"
Samsunspor Fan Token,SAM,$1.40,+0.66%,"$59,446","$608,024"
Sekuya,SKUY,$0.000001535,-7.59%,"$7,467","$600,593"
Minds,MINDS,$0.08102,+0.24%,N/A,"$597,930"
Uniqly,UNIQ,$0.06576,+0.00%,N/A,"$597,054"
SolAPE Token,SOLAPE,$0.002001,+0.08%,$186,"$597,208"
APY Vision,VISION,$0.4223,+4.78%,$94,"$599,877"
Decentralized Nations,DENA,$0.8005,+0.06%,N/A,"$594,582"
Vigorus,VIS,$0.00009397,-0.04%,$773,"$593,144"
Dohrnii,DHN,$0.01104,+0.53%,$37,"$591,209"
Mist,MIST,$0.01063,+3.39%,"$17,618","$598,837"
FedoraCoin,TIPS,$0.000002775,+2.91%,"$7,827","$589,154"
Heroes & Empires,HE,$0.001249,-4.13%,"$15,669","$588,749"
Revault Network,REVA,$0.0573,+2.47%,$839,"$588,704"
Aerarium Fi,AERA,$5.54,+4.41%,"$6,944","$583,485"
PirateCash,PIRATE,$0.01113,+3.18%,$457,"$584,790"
FidexToken,FEX,$0.00001894,+4.78%,N/A,"$586,188"
Graviocoin,GIO,$0.008133,-0.84%,$129,"$586,655"
Kava Swap,SWP,$0.01726,-0.85%,"$105,805","$584,168"
PlanetWatch,PLANETS,$0.001822,+0.05%,"$65,602","$581,676"
PsyOptions,PSY,$0.003102,+0.70%,"$48,852","$578,926"
TransferCoin,TX,$0.07022,+5.80%,N/A,"$582,563"
NUSA,Nusa,$8.16,+5.29%,"$2,393","$577,568"
FLIP,FLP,$0.01033,+31.72%,N/A,"$577,759"
FaraLand,FARA,$0.02235,+4.55%,"$49,791","$579,091"
Funex,FUNEX,$0.06214,+0.55%,"$109,956","$569,133"
Sao Paulo FC Fan Token,SPFC,$0.293,-0.47%,"$53,384","$570,387"
Drops Ownership Power,DOP,$0.4879,+1.53%,"$11,099","$573,770"
Brokoli Network,BRKL,$0.01063,-0.44%,"$9,969","$568,331"
Bitnautic BTNT V2,BTNTV2,$0.02968,+2.09%,$249,"$566,336"
Raiden Network Token,RDN,$0.008649,-8.38%,"$15,995","$577,698"
UniX Gaming,UNIX,$0.0161,-0.29%,"$39,126","$564,451"
Coinary Token,CYT,$0.002672,-0.38%,"$5,160","$563,981"
XP NETWORK,XPNET,$0.004268,+0.20%,"$101,970","$562,786"
Swerve,SWRV,$0.03166,+2.49%,"$50,633","$553,457"
LINKA,LINKA,$0.0008133,+5.80%,"$16,332","$564,582"
Genesis Vision,GVT,$0.1264,+0.04%,N/A,"$559,717"
ELYFI,ELFI,$0.01099,+0.01%,$6,"$559,171"
PUMLx,PUMLX,$0.02024,-1.01%,"$223,999","$554,459"
Props Token,PROPS,$0.001086,-12.87%,"$12,754","$557,463"
OKCash,OK,$0.006369,+1.35%,$12,"$555,741"
Life Crypto,LIFE,$0.0002091,+5.44%,"$86,581","$550,140"
Kalao,KLO,$0.004741,-1.14%,"$43,521","$546,399"
Sarcophagus,SARCO,$0.1137,-0.02%,$561,"$550,137"
GYSR,GYSR,$0.06434,+14.74%,N/A,"$563,464"
Rangers Protocol,RPG,$0.5588,+0.31%,"$7,422","$543,589"
AppCoins,APPC,$0.002275,+4.78%,N/A,"$545,509"
Acute Angle Cloud,AAC,$0.002141,-4.26%,"$240,897","$535,153"
Infinity Angel,ING,$0.0009687,+0.40%,"$800,063","$538,526"
Froyo Games,FROYO,$0.001846,+2.39%,$643,"$535,320"
RUN TOGETHER,RUN,$0.007441,-0.72%,$614,"$532,348"
Etho Protocol,ETHO,$0.006796,-0.66%,"$315,500","$530,900"
ADAX,ADAX,$0.01013,+33.42%,"$114,610","$530,977"
RaceFi,RACEFI,$0.01146,-3.35%,"$48,937","$529,125"
Oxygen,OXY,$0.01302,+0.97%,"$110,919","$529,876"
Treat DAO [new],TREAT,$0.004237,+1.46%,$177,"$529,604"
Mogul Productions,STARS,$0.001828,+8.62%,"$205,134","$560,543"
Nafter,NAFT,$0.0005285,-0.24%,"$6,967","$527,266"
Denarius,D,$0.062,+5.80%,$0.6196,"$529,751"
GSENetwork,GSE,$0.0000255,-4.40%,"$6,552","$509,956"
Opium,OPIUM,$0.1266,+3.49%,"$10,806","$526,716"
hiGAZERS,HIGAZERS,$0.0514,+18.17%,"$280,931","$513,733"
bAlpha,BALPHA,$29.15,+5.50%,"$6,618","$524,670"
Eden,EDEN,$0.03929,-0.47%,"$274,259","$519,867"
Finblox,FBX,$0.002267,+2.09%,"$10,354","$519,134"
BitcoinHD,BHD,$0.08495,+16.05%,"$142,462","$516,751"
blockbank,BBANK,$0.002438,+2.98%,"$24,230","$515,695"
NFTY Network,NFTY,$0.002014,-3.80%,"$48,163","$516,057"
CATpay,CATPAY,$0.00000000002345,+2.90%,$568,"$517,221"
Liquidifty,LQT,$0.01273,+3.42%,"$3,403","$513,051"
Nelore Coin,NLC,$0.001435,+3.13%,"$2,174","$515,441"
BlackHat,BLKC,$0.05098,-0.54%,"$70,384","$512,730"
Defira,FIRA,$0.0531,-3.26%,"$2,947","$513,760"
Lanceria,LANC,$0.001951,+4.67%,"$11,533","$525,162"
Peony,PNY,$0.001065,-6.09%,$18,"$515,197"
FibSWAP DEx,FIBO,$0.005729,-1.58%,$182,"$515,613"
KCCPAD,KCCPAD,$0.003747,+2.20%,N/A,"$510,120"
XY Finance,XY,$0.057,+3.41%,"$23,898","$512,755"
Echain Network,ECT,$0.003064,+10.09%,"$9,108","$511,793"
Waves Enterprise,WEST,$0.01208,+1.73%,"$33,186","$506,938"
Zenfuse,ZEFU,$0.007851,+10.78%,N/A,"$509,528"
Alanyaspor Fan Token,ALA,$0.6312,-5.50%,"$34,389","$508,994"
hiVALHALLA,HIVALHALLA,$0.001532,+5.27%,"$178,762","$493,336"
Stealth,XST,$0.0128,+113.29%,N/A,"$507,340"
Caspian,CSP,$0.001138,+5.30%,"$3,805","$510,797"
Bridge Mutual,BMI,$0.007809,+7.83%,"$15,219","$505,198"
Jigstack,STAK,$0.0002854,+4.12%,"$2,040","$506,889"
PieDAO DOUGH v2,DOUGH,$0.03395,+0.00%,N/A,"$501,803"
MetaBrands,MAGE,$0.03449,-9.02%,$712,"$504,677"
Royale Finance,ROYA,$0.007942,+7.37%,$842,"$502,699"
IG Gold,IGG,$0.00005643,+0.10%,$150,"$499,774"
delta.theta,DLTA,$0.00579,+0.04%,N/A,"$495,750"
Metaverse ETP,ETP,$0.006051,+2.87%,"$39,555","$494,920"
hiPENGUINS,HIPENGUINS,$0.01167,-10.52%,"$70,888","$499,520"
Gro DAO Token,GRO,$0.05945,-0.49%,$298,"$494,087"
Huobi Pool Token,HPT,$0.00009272,+0.52%,$3,"$494,051"
Savanna,SVN,$0.002597,-5.37%,"$48,490","$492,093"
Port Finance,PORT,$0.01383,-8.16%,"$306,994","$491,150"
Rainmaker Games,RAIN,$0.001244,-8.50%,$1.68 M,"$489,005"
Rainbow Token,RAINBOW,$0.0000000005728,+3.39%,$52,"$492,800"
WOOF,WOOF,$0.00002768,+2.75%,"$1,199","$495,549"
Scry.info,DDD,$0.001099,-0.67%,"$12,253","$483,569"
DAV Coin,DAV,$0.0007015,-50.31%,"$5,506","$486,587"
DigitalNote,XDN,$0.00006049,+37.72%,$111,"$485,653"
Spore,SPORE,$0.00000000001455,+4.94%,$81,"$482,134"
GhostMarket,GM,$0.01221,-7.41%,"$3,509","$481,392"
FreeRossDAO,FREE,$0.00006192,-19.77%,"$76,710","$477,854"
CannabisCoin,CANN,$0.006237,+5.87%,N/A,"$481,698"
PANTHEON X,XPN,$0.0007015,-15.39%,$60,"$477,576"
PhoenixDAO,PHNX,$0.006498,+1.79%,"$59,332","$484,091"
Leeds United Fan Token,LUFC,$0.4876,-2.48%,"$81,024","$479,538"
Pixer Eternity,PXT,$0.8304,-0.03%,"$719,152","$475,580"
TemplarDAO,TEM,$1.72,+7.49%,"$7,645","$477,680"
Don-key,DON,$0.005049,-1.58%,"$43,331","$472,865"
Mainston,STON,$0.002554,+5.41%,"$6,887","$477,011"
Lunatics,LUNAT,$0.000008954,+3.84%,"$66,523","$476,744"
CryptoCart V2,CCV2,$0.5122,-0.25%,$846,"$476,508"
RUSH COIN,RUSH,$0.0002881,-7.10%,"$11,178","$456,433"
High Performance Blockchain,HPB,$0.006452,-4.48%,"$274,686","$471,448"
Bibox Token,BIX,$0.005504,+0.14%,"$83,849","$470,237"
UniMex Network,UMX,$0.0488,+0.23%,N/A,"$469,454"
MetaSoccer,MSU,$0.004044,-3.07%,"$10,361","$470,267"
Franklin,FLY,$0.0009024,-0.13%,"$256,398","$468,783"
DAPS Coin,DAPS,$0.000008135,+5.87%,$11,"$471,669"
Binemon,BIN,$0.00112,-8.11%,"$10,851","$466,662"
PERI Finance,PERI,$0.05453,-0.81%,"$9,453","$465,696"
Crypto Raiders,RAIDER,$0.01683,-1.78%,"$4,078","$465,426"
Aidos Kuneen,ADK,$0.01867,+4.30%,N/A,"$466,840"
Ethermon,EMON,$0.003161,-1.25%,"$18,289","$464,808"
Lovelace World,LACE,$0.002396,+26.61%,"$259,439","$459,198"
Azbit,AZ,$0.000006598,-5.98%,$389,"$460,194"
Spume Protocol,SPUME,$0.009418,+0.62%,"$723,278","$459,823"
PotCoin,POT,$0.004016,+4.50%,$23,"$463,173"
EUNO,EUNO,$0.00006705,-11.51%,$78,"$462,283"
CaliCoin,CALI,$0.0153,-0.02%,"$79,193","$459,069"
Upfiring,UFR,$0.01925,+10.54%,$44,"$462,087"
Game Ace Token,GAT,$0.5155,+0.00%,N/A,"$457,916"
NIX,NIX,$0.009366,+5.31%,N/A,"$461,162"
Karbo,KRB,$0.04701,+4.40%,$837,"$454,398"
TTcoin,TC,$0.0002749,+2.46%,"$26,914","$453,069"
AGA Token,AGA,$0.04184,+2.84%,$61,"$453,710"
Acquire.Fi,ACQ,$0.01243,+4.52%,"$210,040","$435,486"
Portuma,POR,$0.0002262,+0.05%,"$194,141","$452,780"
Cyclone Protocol,CYC,$17.18,+4.99%,$342,"$451,621"
Colony Avalanche Index,CAI,$116.02,+4.98%,"$21,192","$452,562"
Yeti Finance,YETI,$0.003507,+7.86%,"$136,535","$452,155"
NFTLaunch,NFTL,$0.00333,+0.28%,"$4,616","$449,614"
Goldcoin,GLC,$0.0103,+15.91%,$457,"$449,847"
Jackpot,777,$0.001227,+12.25%,$10,"$451,053"
Kcash,KCASH,$0.001003,+0.14%,"$597,526","$446,891"
Hundred Finance,HND,$0.01538,+7.33%,$839,"$445,189"
Raze Network,RAZE,$0.003753,-2.77%,"$8,959","$445,488"
Paribus,PBX,$0.0008785,+9.85%,"$94,420","$444,847"
Game.com,GTC,$0.0005897,+8.53%,"$9,980","$449,022"
Decentr,DEC,$0.004031,-7.80%,"$158,440","$438,399"
Shakita Inu,SHAK,$0.00006734,+0.07%,N/A,"$438,822"
PlotX,PLOT,$0.006633,-6.05%,"$298,234","$439,899"
Carbon,CRBN,$0.0138,-1.09%,"$10,241","$438,605"
Davis Cup Fan Token,DAVIS,$0.945,-0.24%,"$40,213","$431,006"
Gather,GTH,$0.002208,+0.60%,"$58,479","$440,980"
Meerkat Shares,MSHARE,$5.95,-2.77%,$27,"$444,453"
GGDApp,GGTK,$0.02774,+6.18%,$512,"$438,271"
Mad Meerkat ETF,METF,$0.6843,+0.00%,N/A,"$434,936"
YF Link,YFL,$7.96,-0.02%,N/A,"$434,142"
hiFRIENDS,HIFRIENDS,$0.01362,+32.60%,"$806,826","$422,128"
Roush Fenway Racing Fan Token,ROUSH,$0.5649,+21.94%,"$30,204","$437,798"
Smart MFG,MFG,$0.001158,+0.75%,$31,"$431,320"
Hunter Token,HNTR,$0.00391,-0.42%,"$62,161","$427,220"
DEXA COIN,DEXA,$0.00001682,-2.92%,"$96,855","$420,500"
Ally Direct Token,DRCT,$0.001181,-1.18%,$382,"$428,379"
Metastrike,MTS,$0.003967,-12.13%,"$52,125","$415,263"
Naka Bodhi Token,NBOT,$0.006053,-5.02%,"$10,432","$423,715"
CryptoBlades,SKILL,$0.4637,-0.42%,"$59,153","$422,860"
Flixxo,FLIXX,$0.005042,+4.10%,$9,"$425,194"
Blockzero Labs,XIO,$0.01163,+3.95%,"$1,215","$425,491"
AmonD,AMON,$0.0005029,-0.61%,$692,"$422,283"
AtromG8,AG8,$0.01003,+45.31%,$478,"$421,120"
TRAVA.FINANCE,TRAVA,$0.000322,+3.51%,"$77,179","$421,240"
Sakura Bloom,SKB,$0.000164,+5.62%,N/A,"$423,525"
CryptoZoon,ZOON,$0.0005831,-2.68%,"$67,682","$420,510"
YFDAI.FINANCE,YF-DAI,$104.39,+0.93%,"$472,195","$416,117"
EDDASwap,EDDA,$84.24,+4.25%,"$71,256","$421,202"
hiFIDENZA,HIFIDENZA,$0.1409,-0.85%,"$133,752","$422,681"
hiMFERS,HIMFERS,$0.001869,-3.10%,"$87,770","$402,840"
SiaCashCoin,SCC,$0.00001894,+4.78%,N/A,"$420,050"
Infinity Rocket Token,IRT,$0.004553,+0.59%,"$247,406","$419,300"
Archimedes Finance,ARCH,$4.28,-1.83%,"$71,172","$415,618"
B20,B20,$0.08357,-4.65%,"$90,927","$415,733"
Unido EP,UDO,$0.004574,-0.25%,"$35,063","$414,354"
Natus Vincere Fan Token,NAVI,$0.3577,+0.01%,"$18,962","$414,533"
HUNNY FINANCE,HUNNY,$0.005463,+3.25%,$277,"$413,342"
Wings,WINGS,$0.004127,+4.10%,$73,"$412,749"
Soakmont,SKMT,$0.00001496,+1.02%,N/A,"$409,288"
Tiger King Coin,TKING,$0.0000006355,+10.53%,"$4,078","$410,527"
Polygonum Online,POG,$0.006009,+0.03%,"$6,906","$409,152"
Kira Network,KEX,$0.03179,+0.06%,"$292,201","$398,417"
Zap,ZAP,$0.001726,-7.64%,"$1,329","$407,664"
MotoGP Fan Token,MGPT,$0.01917,-2.07%,"$11,451","$412,807"
Spores Network,SPO,$0.000383,+8.24%,"$96,667","$405,293"
hiPunks,HIPUNKS,$0.1349,+5.73%,"$144,595","$401,267"
hiSQUIGGLE,HISQUIGGLE,$0.02137,-0.08%,"$65,355","$405,020"
Paypolitan Token,EPAN,$0.008948,+0.05%,"$308,399","$402,499"
VIDY,VIDY,$0.00004057,+9.64%,"$57,947","$401,187"
Ekta,EKTA,$0.01155,+22.45%,"$65,208","$401,684"
Moonscape,MSCP,$0.0004466,+12.31%,"$6,676","$402,673"
Hololoot,HOL,$0.008265,-0.52%,"$1,305","$397,525"
Orclands Metaverse,ORC,$0.0004247,-17.12%,"$1,600","$400,384"
ARCS,ARX,$0.002216,+1.82%,"$50,124","$390,110"
MM Optimizer,MMO,$0.08414,+0.77%,"$2,594","$396,915"
Dinamo Zagreb Fan Token,DZG,$0.5404,-0.76%,"$25,214","$392,571"
Peanut,NUX,$0.007868,+1.60%,"$86,867","$393,402"
ZION,ZION,$0.0416,-4.37%,"$2,686","$395,838"
Binamon,BMON,$0.003401,+0.14%,"$35,164","$392,684"
Bitindi Chain,BNI,$0.0128,+2.78%,"$82,063","$394,279"
Stone DeFi,STN,$0.01393,-3.14%,"$10,546","$390,632"
EurocoinToken,ECTE,$0.07252,+6.04%,$417,"$394,419"
Shibaverse,VERSE,$0.0004841,+0.29%,N/A,"$390,672"
Oikos,OKS,$0.001631,-5.89%,$115,"$393,529"
Medicalchain,MTN,$0.001224,-1.23%,"$10,859","$392,770"
VIBE,VIBE,$0.001505,+5.80%,N/A,"$391,423"
OneRare,ORARE,$0.04319,+2.33%,"$78,734","$386,981"
hiENS4,HIENS4,$0.00276,+3.95%,"$70,010","$385,022"
Snetwork,SNET,$0.001612,+2.20%,"$7,219","$384,561"
SoulSwap Finance,SOUL,$0.002934,+15.63%,"$7,882","$394,280"
Dogewhale,DOGEWHALE,$0.000001619,+5.10%,$159,"$384,785"
Flits,FLS,$0.00844,-6.71%,$114,"$385,247"
DraftCoin,DFT,$0.04404,+2.75%,"$1,307","$383,841"
Vires Finance,VIRES,$0.1457,+3.38%,N/A,"$382,658"
Hedget,HGET,$0.2173,-0.19%,"$289,352","$380,645"
Pinknode,PNODE,$0.001918,+0.00%,N/A,"$378,755"
Typerium,TYPE,$0.0002325,+13.81%,$2,"$377,854"
hiSAND33,HISAND33,$0.01805,+7.90%,"$112,600","$378,514"
Auroracoin,AUR,$0.01923,+5.70%,$17,"$380,172"
Dragon Crypto Argenti,DCAR,$0.03463,-5.19%,"$27,608","$375,278"
Shield Protocol,SHIELD,$1.38,-11.37%,"$40,649","$338,019"
Plant Vs Undead,PVU,$0.01107,+0.71%,"$84,808","$375,351"
Waletoken,WTN,$0.00001893,+4.74%,N/A,"$377,106"
Falconswap,FSW,$0.01001,+0.06%,N/A,"$374,547"
Moonwell,MFAM,$0.001051,+1.65%,$823,"$372,136"
pBTC35A,pBTC35A,$1.78,-2.07%,"$10,697","$381,200"
